system,bt,prefix,rps,ttft_mean_ms,ttft_p99_ms,slo_2s,slo_5s,slo_10s,slo_20s
dp4_tp8_sp,65536,0.25,6.0,1992.8730349184148,3529.5391262602056,47.89,100.00,100.00,100.00
dp4_tp8_sp,65536,0.5,6.0,1451.508047904287,3216.8703571707006,75.66,100.00,100.00,100.00
dp4_tp8_sp,65536,0.75,6.0,587.1074125702892,1868.9564968738705,99.66,100.00,100.00,100.00
dp4_tp8_sp,65536,0.9,6.0,302.86234134648527,1089.4094154797494,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.95,6.0,250.99624965872084,978.62004683353,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.99,6.0,208.27287820300884,897.8714259527621,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.0,8.0,3220.119436223592,4805.359096284956,2.97,99.54,100.00,100.00
dp4_tp8_sp,65536,0.25,8.0,2753.845811026437,4519.4804826471955,14.17,99.89,100.00,100.00
dp4_tp8_sp,65536,0.5,8.0,2011.7579230192516,3761.955776326358,49.03,100.00,100.00,100.00
dp4_tp8_sp,65536,0.75,8.0,687.3094724012273,2197.9618411697447,98.06,100.00,100.00,100.00
dp4_tp8_sp,65536,0.9,8.0,224.88414825978023,873.3280165214088,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.95,8.0,218.74170157951968,1047.9676067642868,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.99,8.0,163.60803257833635,697.8506658226252,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.0,10.0,3083.0202076738433,6133.113795379175,21.83,93.49,100.00,100.00
dp4_tp8_sp,8192,0.25,10.0,1331.9836879526931,2886.2287043221295,84.34,100.00,100.00,100.00
dp4_tp8_sp,8192,0.5,10.0,563.1880106792918,1540.817401316017,99.77,100.00,100.00,100.00
dp4_tp8_sp,8192,0.75,10.0,384.92711761008417,2610.8854975923887,98.29,100.00,100.00,100.00
dp4_tp8_sp,8192,0.9,10.0,213.91318314895034,716.7915789317337,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.95,10.0,167.3439694632377,780.787199307233,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.99,10.0,149.91734232966388,683.3372461330146,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.0,12.0,9949.62592423175,20587.19398641959,6.17,21.60,50.74,97.71
dp4_tp8_sp,8192,0.25,12.0,4813.4232900983525,9592.37707211636,8.91,54.97,99.54,100.00
dp4_tp8_sp,8192,0.5,12.0,605.6016342240785,1504.5011130906641,99.77,100.00,100.00,100.00
dp4_tp8_sp,8192,0.75,12.0,368.3485877811909,1071.9481034390628,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.9,12.0,211.96707114470857,793.5165809653697,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.95,12.0,163.28576897989427,636.3552226871252,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.99,12.0,126.97962003680212,400.9695782978087,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.0,4.0,655.1193349180477,1897.8658363781865,99.31,100.00,100.00,100.00
dp4_tp8_sp,8192,0.25,4.0,588.1944475844502,1447.9479013197124,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.5,4.0,517.7110520803502,1301.8005901388824,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.75,4.0,449.13603395330057,1223.9594701584429,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.9,4.0,420.9425855720682,1228.9387957658616,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.95,4.0,402.744303388255,1219.518394432962,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.99,4.0,395.1785763565983,1195.2280413731933,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.0,6.0,809.5021315781133,2113.138783434406,98.40,100.00,100.00,100.00
dp4_tp8_sp,8192,0.25,6.0,651.2791755449559,1702.0858762785792,99.89,100.00,100.00,100.00
dp4_tp8_sp,8192,0.5,6.0,526.7725305009101,1345.5143793765455,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.75,6.0,318.62463259856617,1087.7803055383265,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.9,6.0,188.00379121463214,800.7178988866508,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.95,6.0,166.45064718223043,690.8625534921885,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.99,6.0,165.18509765661187,730.0942983105778,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.0,8.0,1131.2565542826694,2672.764413859695,89.94,100.00,100.00,100.00
dp4_tp8_sp,8192,0.25,8.0,860.7829726625766,2042.0816329028457,98.63,100.00,100.00,100.00
dp4_tp8_sp,8192,0.5,8.0,545.1225828507116,1436.685884427279,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.75,8.0,349.498243418123,2251.2371531780805,98.74,100.00,100.00,100.00
dp4_tp8_sp,8192,0.9,8.0,191.35960010173065,756.794021502137,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.95,8.0,173.4711075425148,674.0434174984692,100.00,100.00,100.00,100.00
dp4_tp8_sp,8192,0.99,8.0,151.12043558114343,717.7443074621258,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.0,10.0,6175.174375184412,15148.10894223861,14.51,46.86,79.09,100.00
afd_dp3_tp8_ep8,16384,0.25,10.0,1657.020499736603,3400.7780091557647,64.23,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.5,10.0,800.9361694263561,1945.9580959379673,99.20,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.75,10.0,529.0481221047895,1426.6159736551344,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.9,10.0,429.9045057296753,1169.763132929802,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.95,10.0,206.2194621387337,909.7972180042416,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.99,10.0,138.52539048503553,655.9500232525168,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.0,12.0,12720.014886588922,27275.33556809649,5.71,14.17,38.06,82.06
afd_dp3_tp8_ep8,16384,0.25,12.0,7261.838032548981,16450.396223515272,6.06,36.00,71.43,100.00
afd_dp3_tp8_ep8,16384,0.5,12.0,2207.8241855773545,5734.820326967165,50.97,95.43,100.00,100.00
afd_dp3_tp8_ep8,16384,0.75,12.0,677.662921089679,1675.3948050364852,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.9,12.0,510.8601702382522,1373.8596727140248,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.95,12.0,309.77641199954917,1077.0025924872607,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.99,12.0,135.1322585801993,587.0378506742418,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.0,4.0,493.10656683732356,1442.6971008628607,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.25,4.0,424.7389469104154,1204.252215474844,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.5,4.0,364.00094103068113,1081.7787352483715,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.75,4.0,310.4892354320203,961.1509555578232,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.9,4.0,273.543565472854,949.2054380383343,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.95,4.0,272.88961944303344,930.6363691017032,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.99,4.0,260.17602064194426,923.2061566691846,100.00,100.00,100.00,100.00
afd_dp3_tp8_ep8,16384,0.0,6.0,660.0471131604697,1998.7793611455702,98.97,100.00,100.00,100.00
